id,lesson_id,role,temae_name,note,created_at
1,2,teishu,薄茶/なし/洗い茶巾,茶碗の準備：水を張り、茶巾、茶筅、茶杓をセット。茶巾の端は固く絞って上に上げる。,"2026-03-25 05:32:35.289409"
2,2,kyaku,薄茶/なし/,,"2026-03-25 05:32:36.885228"
3,3,teishu,濃茶/なし/逆勝手,,"2026-03-25 05:37:01.111624"
4,3,kyaku,薄茶/なし/,,"2026-03-25 05:37:03.516543"
7,4,teishu,濃茶/旅箪笥/平点前,半東,"2026-03-26 00:31:35.47519"
8,4,kyaku,薄茶/なし/,,"2026-03-26 00:31:41.202547"
9,5,teishu,濃茶/なし/逆勝手,,"2026-03-26 00:36:27.502594"
10,5,kyaku,薄茶/なし/,,"2026-03-26 00:36:29.765287"
13,6,teishu,薄茶/なし/絞り茶巾,,"2026-03-26 00:51:38.919998"
14,6,kyaku,薄茶/なし/,,"2026-03-26 00:51:41.172369"
19,7,teishu,薄茶/行雲棚/茶会形式,お茶がこぼれたら乾いた雑巾で拭き、茶碗を下げてからすぐに新しく点てたお茶を出す,"2026-04-07 15:26:14.010051"
20,7,kyaku,薄茶/行雲棚/茶会形式,,"2026-04-07 15:26:17.593737"
23,8,teishu,薄茶/丸卓/まるじょく薄茶,,"2026-04-14 13:21:32.278695"
24,8,kyaku,薄茶/なし/,,"2026-04-14 13:21:34.620045"
27,9,teishu,薄茶/更好棚/　　,平棗の扱い→横から持って掌のうえに置いて（膝の上）、半がかり,"2026-04-21 14:50:13.053633"
28,9,kyaku,濃茶/丸卓/茶通箱,,"2026-04-21 14:50:16.420358"
29,10,teishu,薄茶/なし/運び点前,,"2026-05-19 08:46:46.275194"
30,10,kyaku,薄茶/なし/運び点前,,"2026-05-19 08:46:48.577138"
